Subject,Session,Age,Trial,SubTrial,ItemType,Topic,Target,Alternate,TestCue,TestItem.RESP,OtherAnswer.RESP,P1.Recall.Class,P2.Recall.Class,Belief.RESP,CR.RESP
101,1,18,3,56,Repeated,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,everyyear,,,2,3,2
101,1,18,3,57,Control,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,,,,B,4,2
101,1,18,3,58,Control,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,obama,,,2,5,2
101,1,18,3,59,Changed_R,Politics-Quoting,Bernie Sanders,Mitt Romney,"Who claimed that Donald Trump ""has serious emotional problems?""",berniesanders,0,B,2,5,1
101,1,18,3,60,Control,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,4,,,E,4,2
102,2,18,3,1,Control,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,1,,,1,6,2
102,2,18,3,2,Control,Liberian_Women,60%,less than 38%,"In Liberia, what percentage of young women are able to read?",18,,,E,6,2
102,2,18,3,3,Changed_NR,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,clinton,0,E,2,4,1
102,2,18,3,4,Changed_NR,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,coal,,,2,6,2
102,2,18,3,5,Repeated,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,warrant,,,2,6,2
102,2,18,3,6,Changed_R,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",less,more,1,2,4,1
102,2,18,3,7,Changed_NR,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,icewillmeltfaster,,,2,4,2
102,2,18,3,8,Control,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",republicans,,,E,5,2
102,2,18,3,9,Changed_R,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,vaccinescausedautism,itdoesnotcauseautism,2,1,1,1
102,2,18,3,10,Changed_R,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,oil,,,2,6,2
102,2,18,3,11,Control,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,topreventwhiplash,,,2,6,2
102,2,18,3,12,Changed_NR,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,15,,,2,4,2
102,2,18,3,13,Changed_NR,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,25,0,B,2,6,1
102,2,18,3,14,Changed_R,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",takefundings,arrestleaders,1,2,6,1
102,2,18,3,15,Control,Politics-Quoting,Bernie Sanders,Mitt Romney,"Who claimed that Donald Trump ""has serious emotional problems?""",joebidden,,,E,6,2
102,2,18,3,16,Changed_R,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,govermentnotrespondingfastenough,flood,1,2,5,1
102,2,18,3,17,Changed_NR,News sources,Less than half,More than half,What proportion of Americans report getting their news from Facebook?,most,,,1,6,2
102,2,18,3,18,Changed_R,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,90,,,E,5,2
102,2,18,3,19,Repeated,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",asteroid,,,2,5,2
102,2,18,3,20,Changed_R,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,14billion,3million,EE,2,6,1
102,2,18,3,21,Repeated,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,clinton,,,2,6,2
102,2,18,3,22,Repeated,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,11million,,,2,4,2
102,2,18,3,23,Control,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,,,,B,4,2
102,2,18,3,24,Repeated,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,diseases,,,E,5,2
102,2,18,3,25,Changed_R,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,61,15,E,2,5,1
102,2,18,3,26,Control,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,19,,,2,6,2
102,2,18,3,27,Control,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",moreenergythanitproduce,,,2,6,2
102,2,18,3,28,Changed_R,AlabamaRep. in senate,21,30 years,"For how many years had the Alabama senate seat been held by a republican, prior to 2017?",20,,,2,6,2
102,2,18,3,29,Control,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,16,,,E,6,2
102,2,18,3,30,Repeated,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,medicare,,,2,6,2
102,2,18,3,31,Changed_NR,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,olympians,NFLplayers,1,2,6,1
102,2,18,3,32,Changed_NR,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,6,,,E,4,2
102,2,18,3,33,Repeated,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,2dollars,,,2,4,2
102,2,18,3,34,Repeated,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,hittinpedestrains,,,2,4,2
102,2,18,3,35,Changed_NR,Black Homeownership,2004,2017,In what year did black homeownership reach its highest level?,2017,,,1,4,2
102,2,18,3,36,Changed_NR,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,,0,B,B,4,1
102,2,18,3,37,Repeated,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,,,,B,4,2
102,2,18,3,38,Repeated,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,7,3,E,E,4,1
102,2,18,3,39,Control,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,,,,B,4,2
102,2,18,3,40,Changed_R,Teen Drug Use,Alcohol,Marijuana,What substance do US teens report as being easiest to acquire?,alcohol,marijuana,1,2,6,1
102,2,18,3,41,Control,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,1980,,,E,4,2
102,2,18,3,42,Changed_R,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,wantedtosue,wantedtobuildwall,1,2,6,1
102,2,18,3,43,Control,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,,,,B,4,2
102,2,18,3,44,Control,Chess,90,0,How many competitive chess players in the US have attained the rank of Grandmaster?,,,,B,4,2
102,2,18,3,45,Changed_R,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,novoterfrauds,0,B,2,4,1
102,2,18,3,46,Repeated,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,Obama,,,2,6,2
102,2,18,3,47,Changed_NR,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,,,,B,4,2
102,2,18,3,48,Changed_R,Murder_year,1980,2017,In what year did the murder rate in the US peak?,2017,,,1,2,2
102,2,18,3,49,Repeated,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,7,,,2,5,2
102,2,18,3,50,Control,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,doesnotgivediscounts,,,2,4,2
102,2,18,3,51,Changed_NR,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,1million,2million,2,2,6,1
102,2,18,3,52,Changed_R,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,toprotest,weretakingbyofficials,1,2,5,1
102,2,18,3,53,Changed_NR,Popular_Vote,Clinton,Trump,Who won the popular vote in the 2016 presidential election?,Hilary,Trump,1,2,6,1
102,2,18,3,54,Control,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,Prolife,,,2,6,2
102,2,18,3,55,Repeated,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,19,,,2,4,2
102,2,18,3,56,Changed_NR,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,hewillnotrun,,,2,4,2
102,2,18,3,57,Changed_R,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,1,thethird,1,2,3,1
102,2,18,3,58,Repeated,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,15,,,2,4,2
102,2,18,3,59,Repeated,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",Christianity,,,E,4,2
102,2,18,3,60,Changed_NR,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,10,,,E,4,2
103,3,21,3,1,Control,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,vaccinesdonotcauseautism,0,B,2,6,1
103,3,21,3,2,Changed_NR,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",asteriod,asecondmoon,1,2,6,1
103,3,21,3,3,Changed_R,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,olympicathletes,NFLplayers,1,2,6,1
103,3,21,3,4,Changed_R,Popular_Vote,Clinton,Trump,Who won the popular vote in the 2016 presidential election?,HilaryClinton,DonaldTrump,1,2,6,1
103,3,21,3,5,Changed_R,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,,0,B,B,1,1
103,3,21,3,6,Control,Teen Drug Use,Alcohol,Marijuana,What substance do US teens report as being easiest to acquire?,Alcohol,0,B,2,6,1
103,3,21,3,7,Repeated,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",2007,,,2,6,2
103,3,21,3,8,Changed_R,News sources,Less than half,More than half,What proportion of Americans report getting their news from Facebook?,lessthanhalfamiilion,Morethanhalfmillion,1,2,6,1
103,3,21,3,9,Repeated,Liberian_Women,60%,less than 38%,"In Liberia, what percentage of young women are able to read?",14,,,E,6,2
103,3,21,3,10,Changed_NR,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,,0,B,B,1,1
103,3,21,3,11,Control,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,zero,14million,E,E,6,1
103,3,21,3,12,Changed_NR,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,,,,B,1,2
103,3,21,3,13,Control,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,Theywereagainstitandsued,,,2,6,2
103,3,21,3,14,Repeated,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,NRAandPlannedParenthood,,,E,6,2
103,3,21,3,15,Repeated,Chess,90,0,How many competitive chess players in the US have attained the rank of Grandmaster?,ninety,,,2,6,2
103,3,21,3,16,Repeated,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,citizens,,,1,6,2
103,3,21,3,17,Changed_R,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,coalenergy,windenergy,1,2,6,1
103,3,21,3,18,Control,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,windenergy,,,E,6,2
103,3,21,3,19,Changed_NR,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",gunowners,,,1,6,2
103,3,21,3,20,Control,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,noevidenceofvoterfraud,,,2,6,2
103,3,21,3,21,Repeated,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,preventwhiplash,headrareremoved,E,2,6,1
103,3,21,3,22,Changed_NR,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,autoimmunedisease,malaria,,2,6,1
103,3,21,3,23,Changed_R,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,presidentclinton,presidenttrump,1,2,6,1
103,3,21,3,24,Changed_R,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,hewillunlikelyruin2020,hewillrunin2020,1,2,6,1
103,3,21,3,25,Control,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,,,,B,1,2
103,3,21,3,26,Changed_NR,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,11million,,,2,6,2
103,3,21,3,27,Changed_R,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,,,,B,1,2
103,3,21,3,28,Changed_NR,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,ifanoffierhasawarrant,aofficercanconfiscateafirearmregardlessofawarrant,1,2,6,1
103,3,21,3,29,Changed_R,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,,,,B,1,2
103,3,21,3,30,Changed_R,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,peopleofallages,onlyoldpeopleshouldgetvaccinated,1,2,6,1
103,3,21,3,31,Repeated,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,40,,,E,6,2
103,3,21,3,32,Changed_R,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,,,,B,1,2
103,3,21,3,33,Control,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,lackofactionbythegovernment,,,2,6,2
103,3,21,3,34,Changed_NR,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,,,,B,1,2
103,3,21,3,35,Changed_NR,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,PresidentClinton,Presidentobama,1,2,6,1
103,3,21,3,36,Control,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",stopfunding,,,2,6,2
103,3,21,3,37,Changed_NR,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,,,,B,1,2
103,3,21,3,38,Control,Murder_year,1980,2017,In what year did the murder rate in the US peak?,1980,,,2,6,2
103,3,21,3,39,Changed_NR,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,temilitary,,,1,6,2
103,3,21,3,40,Repeated,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,fifteenth,,,2,6,2
103,3,21,3,41,Changed_R,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,therecession,,,2,6,2
103,3,21,3,42,Changed_R,Black Homeownership,2004,2017,In what year did black homeownership reach its highest level?,2004,2008,E,2,6,1
103,3,21,3,43,Repeated,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,prolife,,,2,6,2
103,3,21,3,44,Repeated,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,,,,B,1,2
103,3,21,3,45,Repeated,Politics-Quoting,Bernie Sanders,Mitt Romney,"Who claimed that Donald Trump ""has serious emotional problems?""",BernieSanders,,,2,6,2
103,3,21,3,46,Control,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,,,,B,1,2
103,3,21,3,47,Changed_R,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,,,,B,1,2
103,3,21,3,48,Control,AlabamaRep. in senate,21,30 years,"For how many years had the Alabama senate seat been held by a republican, prior to 2017?",,,,B,1,2
103,3,21,3,49,Changed_R,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,,,,B,1,2
103,3,21,3,50,Changed_NR,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,,,,B,1,2
103,3,21,3,51,Changed_NR,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,145,,,E,1,2
103,3,21,3,52,Repeated,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",,,,B,1,2
103,3,21,3,53,Repeated,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,over40,,,E,3,2
103,3,21,3,54,Control,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,1,,,2,6,2
103,3,21,3,55,Changed_NR,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,usingfakepedestrians,BowlingBalls,1,2,6,1
103,3,21,3,56,Changed_NR,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,11million,,,E,6,2
103,3,21,3,57,Repeated,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,avaccine,,,2,6,2
103,3,21,3,58,Repeated,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,allofthembutmainlyfavorsrepublicandistricts,,,2,6,2
103,3,21,3,59,Control,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",,,,B,1,2
103,3,21,3,60,Control,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,,,,B,1,2
104,4,20,3,1,Changed_R,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,DonaldTrump,0,B,1,4,1
104,4,20,3,2,Changed_NR,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,,,,B,6,2
104,4,20,3,3,Repeated,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,Separation,0,B,1,3,1
104,4,20,3,4,Repeated,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,,,,B,3,2
104,4,20,3,5,Repeated,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,Lackofexposureofvaccines,,,E,6,2
104,4,20,3,6,Control,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,8,12,E,2,5,1
104,4,20,3,7,Repeated,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,,0,B,B,3,1
104,4,20,3,8,Changed_NR,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,Stayighydrated,,,1,6,2
104,4,20,3,9,Changed_R,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,10,,,1,4,2
104,4,20,3,10,Changed_R,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,,,,B,4,2
104,4,20,3,11,Changed_R,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,4,,,E,2,2
104,4,20,3,12,Control,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,,0,B,B,4,1
104,4,20,3,13,Repeated,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,,,,B,3,2
