Subject,Session,Age,Trial,ItemType,Topic,Target,Alternate,TestCue,TestItem.RESP,OtherAnswer.RESP,P1.Recall.Class,P2.Recall.Class,Belief.RESP,CR.RESP
102,2,21,1,Repeated,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,medicare,,2,2,6,0
102,2,21,2,Changed_NR,News sources,Less than half,More than half,What proportion of Americans report getting their news from Facebook?,aroundhalf50,,B,E,6,0
102,2,21,3,Changed_R,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,14Million,3Million,E,E,6,1
102,2,21,4,Changed_NR,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,theIcewillstillnotfrezefastenoughtreplace,,B,2,6,0
102,2,21,5,Control,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,Topreventwhiplaseifneeded,,B,2,6,0
102,2,21,6,Changed_R,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,Foraprotestnotdetainment,Fodetainment,1,2,6,1
102,2,21,7,Changed_R,Teen Drug Use,Alcohol,Marijuana,What substance do US teens report as being easiest to acquire?,alchol,marijuana,1,2,6,1
102,2,21,8,Changed_NR,Black Homeownership,2004,2017,In what year did black homeownership reach its highest level?,2004,,B,2,6,0
102,2,21,9,Repeated,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,Testedagainstpedestrianlikedummies,,B,2,6,0
102,2,21,10,Changed_NR,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,Coal,solarcreatedthemostcarbonfootprinting,B,2,3,1
102,2,21,11,Control,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",Itconsumesmoreandproduceslessthanitneeds,,B,2,6,0
102,2,21,12,Changed_R,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,326,24,1,E,3,1
102,2,21,13,Control,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,Gettingafluvaccine,,B,2,6,0
102,2,21,14,Changed_R,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,Fossilfueltyperelatedjobs,solarenergyprovidesthemajorityofjobs,1,E,4,1
102,2,21,15,Repeated,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,11Million,,1,2,6,0
102,2,21,16,Changed_R,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,Itdoesnotcauseautism,Itdidcauseautism,1,2,6,1
102,2,21,17,Changed_R,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,NoproofofFrauddetected,Therefrauddetected,1,2,6,1
102,2,21,18,Repeated,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,Diaryproducts,,B,E,6,0
102,2,21,19,Control,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,19,,B,2,6,0
102,2,21,20,Changed_NR,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,TherecessionandRegansadministrtionin1999,Badleadership,1,2,6,1
102,2,21,21,Changed_R,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",LessthananyothersinceWW2,Hesignedmorethananyotherpresident,1,2,6,1
102,2,21,22,Changed_R,AlabamaRep. in senate,21,30 years,"For how many years had the Alabama senate seat been held by a republican, prior to 2017?",21,30yrs,1,2,6,1
102,2,21,23,Repeated,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,7,,B,2,4,0
102,2,21,24,Repeated,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",Christianswmadeweaponslikeguns,,B,2,2,0
102,2,21,25,Repeated,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,15,,E,2,6,0
102,2,21,26,Control,Liberian_Women,60%,less than 38%,"In Liberia, what percentage of young women are able to read?",60,,1,2,6,0
102,2,21,27,Repeated,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,46times,,B,E,4,0
102,2,21,28,Control,Politics-Quoting,Bernie Sanders,Mitt Romney,"Who claimed that Donald Trump ""has serious emotional problems?""",BernieSanders,,B,2,6,0
102,2,21,29,Changed_NR,Popular_Vote,Clinton,Trump,Who won the popular vote in the 2016 presidential election?,HillaryClinton,DonaldTrump,B,2,6,1
102,2,21,30,Changed_NR,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,Notsine1983,,B,E,4,0
102,2,21,31,Changed_NR,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,36,0,B,1,6,1
102,2,21,32,Changed_NR,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,12Million,,B,1,6,0
102,2,21,33,Changed_R,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,Thehesitationtoactbytheleaershipofthestate,Thefloodingcausedaunstoppablespreadabledisease,1,2,6,1
102,2,21,34,Changed_NR,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,Allpeople,Thatoldereopleshouldnotrecieve,E,2,6,1
102,2,21,35,Changed_NR,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,Hewouldmostlikelynotun,Saidthathewouldrnin2020,1,2,6,1
102,2,21,36,Changed_R,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,6,Theysaiditwasthe3Rdbiggestexportrevenue,1,E,6,1
102,2,21,37,Control,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,ProLifelatel,,B,1,6,0
102,2,21,38,Changed_R,Murder_year,1980,2017,In what year did the murder rate in the US peak?,1980,recentlyin20172018,B,2,6,1
102,2,21,39,Repeated,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,AutoImmuediseaseorelatedproblems,,B,2,6,0
102,2,21,40,Control,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",2017,,B,E,2,0
102,2,21,41,Control,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,2018,Ithoughtitsaid2016hadalowerturnoutofvoters,B,E,1,1
102,2,21,42,Repeated,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,2,,1,2,6,0
102,2,21,43,Control,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,15Th,,1,2,6,0
102,2,21,44,Repeated,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,Withawarrentfortheweapon,,B,2,6,0
102,2,21,45,Repeated,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,ObamaAdministration,,1,2,6,0
102,2,21,46,Repeated,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",Acomet,,B,2,6,0
102,2,21,47,Changed_NR,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,droppedby42,,B,E,4,0
102,2,21,48,Changed_R,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,Theysuedtostopthebuildingoftheboarderwall,Theyagreedandwantedtheboarderwall,1,2,6,1
102,2,21,49,Control,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,13,,1,2,6,0
102,2,21,50,Changed_NR,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,ReganAdministration,,B,E,6,0
102,2,21,51,Repeated,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,2,,B,E,6,0
102,2,21,52,Changed_NR,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,Olympiaswerethefirst,JustsaidthatNFLwasthefirstto,1,2,6,1
102,2,21,53,Changed_R,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,Droppedby72,Theysaiditrosefrom2016to2017,E,E,5,1
102,2,21,54,Control,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,Itfavorsacertainrepublicandistrictorschoolandtheothesgetstandardorless,,B,2,6,0
102,2,21,55,Changed_R,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",Eithertocompletelyoralmostcompletelystopfederalfunding,TheysaidhewasgoingtoarresttheSanctuaryCitieleaders,1,2,6,1
102,2,21,56,Control,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,10000andthestate,,B,2,5,0
102,2,21,57,Changed_NR,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,itrose1420,,B,E,4,0
102,2,21,58,Control,Chess,90,0,How many competitive chess players in the US have attained the rank of Grandmaster?,15,,B,E,1,0
102,2,21,59,Repeated,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,PresidentClinton,,1,2,6,0
102,2,21,60,Control,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,ParenthoodandassociatesoftheNRA,Thetheygivethesediscountsinthefirstplace,E,E,6,1
103,3,18,1,Changed_NR,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,healthcare,military,1,2,3,1
103,3,18,2,Changed_R,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,coal,wind,B,2,5,1
103,3,18,3,Changed_NR,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,simulatinghittingpedestrians,bydroppingabowlingballonthem,B,2,5,1
103,3,18,4,Changed_R,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,40,,B,1,4,0
103,3,18,5,Changed_NR,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,25,,B,E,3,0
103,3,18,6,Changed_R,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,riseby15,riseby25,1,2,5,1
103,3,18,7,Repeated,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,13,,B,2,4,0
103,3,18,8,Changed_R,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,everyyear,noraise,B,2,5,1
103,3,18,9,Repeated,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,9,,E,E,4,0
103,3,18,10,Changed_NR,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,23,droppedzerotimes,1,E,3,1
103,3,18,11,Control,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,oilindustry,,1,2,6,0
103,3,18,12,Repeated,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,city,,1,2,5,0
103,3,18,13,Control,Teen Drug Use,Alcohol,Marijuana,What substance do US teens report as being easiest to acquire?,alcohol,,1,2,6,0
103,3,18,14,Repeated,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,15th,,1,2,5,0
103,3,18,15,Changed_R,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,otlikelytorun,hewilllikelyrun,1,2,5,1
103,3,18,16,Changed_NR,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,malaria,0,B,1,2,1
103,3,18,17,Control,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,sudagainstthewall,,B,2,5,0
103,3,18,18,Changed_NR,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,onlyifhehasawarrant,officercanconfiscatenyonesfirearm,1,2,5,1
103,3,18,19,Changed_R,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,allages,onlytheelderly,B,2,5,1
103,3,18,20,Control,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,inprotesttofamilyseparations,,B,2,6,0
103,3,18,21,Changed_NR,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,2,2million,1,2,5,1
103,3,18,22,Control,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,vaccinesaresafe,,B,2,3,0
103,3,18,23,Changed_NR,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",gunowningchristians,,B,1,5,0
103,3,18,24,Changed_NR,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,obama,trump,B,2,5,1
103,3,18,25,Changed_R,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,greatrecession,badleadership,B,2,6,1
103,3,18,26,Changed_R,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,iceismeltingfasterthanitissnowing,moresnowthantherateiceismelting,1,2,4,1
103,3,18,27,Changed_NR,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",ameteor,smallmoon,1,2,4,1
103,3,18,28,Changed_NR,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,7,10,B,2,4,1
103,3,18,29,Control,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",hesignedverylittlelegislation,,B,2,4,0
103,3,18,30,Repeated,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,vaccines,,B,2,5,0
103,3,18,31,Control,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,lackofactionbygovenor,,B,2,2,0
103,3,18,32,Repeated,Liberian_Women,60%,less than 38%,"In Liberia, what percentage of young women are able to read?",60,,E,2,4,0
103,3,18,33,Control,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,novoterfraudfound,,B,2,5,0
103,3,18,34,Changed_R,Popular_Vote,Clinton,Trump,Who won the popular vote in the 2016 presidential election?,hillaryclinton,donaldtrump,B,2,6,1
103,3,18,35,Changed_R,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,1million,1million,B,2,5,1
103,3,18,36,Changed_NR,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,clinton,obama,B,2,4,1
103,3,18,37,Control,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",takeawaytheirfunding,,B,2,5,0
103,3,18,38,Changed_R,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,8,0,B,2,5,1
103,3,18,39,Control,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,1,,E,2,5,0
103,3,18,40,Changed_NR,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,40,,B,E,2,0
103,3,18,41,Repeated,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,prolife,,1,2,5,0
103,3,18,42,Repeated,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,toavoidwhiplashifneeded,,B,2,5,0
103,3,18,43,Repeated,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,plannedparenhoodandNRA,,B,E,3,0
103,3,18,44,Control,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,14billion,,1,2,3,0
103,3,18,45,Changed_R,News sources,Less than half,More than half,What proportion of Americans report getting their news from Facebook?,lessthanhalf,morethanhalf,1,2,5,1
103,3,18,46,Repeated,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",2007,,B,2,5,0
103,3,18,47,Repeated,Chess,90,0,How many competitive chess players in the US have attained the rank of Grandmaster?,90,,B,2,3,0
103,3,18,48,Repeated,Politics-Quoting,Bernie Sanders,Mitt Romney,"Who claimed that Donald Trump ""has serious emotional problems?""",BernieSanders,,B,2,6,0
103,3,18,49,Changed_NR,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,surplusdairyproducts,0,B,2,3,1
103,3,18,50,Repeated,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",consumesmoreenergythanitproduces,,B,2,5,0
103,3,18,51,Control,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,19,,B,E,3,0
103,3,18,52,Control,Murder_year,1980,2017,In what year did the murder rate in the US peak?,2016,,B,1,2,0
103,3,18,53,Changed_R,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,clinton,trump,B,2,4,1
103,3,18,54,Repeated,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,givessuppliestoalldistrictsbutfavorsonerepublicandistrict,,B,2,4,0
103,3,18,55,Control,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,13,,E,E,1,0
103,3,18,56,Changed_R,Black Homeownership,2004,2017,In what year did black homeownership reach its highest level?,2003,2016,1,2,3,1
103,3,18,57,Repeated,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,2012,,2,2,5,0
103,3,18,58,Changed_NR,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,11million,32million,B,2,5,1
103,3,18,59,Control,AlabamaRep. in senate,21,30 years,"For how many years had the Alabama senate seat been held by a republican, prior to 2017?",10,,B,E,2,0
103,3,18,60,Changed_R,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,USolympians,NFLathletes,1,2,5,1
104,4,20,1,Repeated,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,billion,,B,E,5,0
